MANOS,PIES
TIENDA,COMERCIO
CORTINA,COLCHA
PERRO,GATO
SOPESAR,PENSAR
BOLSA,SACO
PAJA,HENO
SEMILLA,RAÍZ
JURA,PROMETE
GANAR,PERDER
SUCIO,LIMPIO
UVA,PASA
PEAJE,TASA
GLOBO,HELIO
EXAMEN,PRUEBA
TOS,MOCOS
AMABLE,GROSERO
CANASTA,CESTA
SALÓN,COMEDOR
EMPUJAR,TIRAR
SUELO,PARED
ENFADO,FURIA
SAL,AZUCAR
TECLA,BOTON
ENEMIGO,AMIGO
HERIDA,DOLOR
PUÑAL,NAVAJA
TAZA,TETERA
BEBÉ,NIÑO
ORDEN,CAOS
CERVEZA,VINO
GRANDE,ENORME
BARCO,BOTE
ANIMAL,ZOO
TIEMPO,RELOJ
HACHA,LEÑA
COMIDA,PICOTEO
CHARLA,DISCURSO
VAGÓN,TREN
REY,REINA
POSTRE,DULCE
SILLA,MESA
DÉBIL,FUERTE
ARROZ,PAELLA
MUJER,HOMBRE
LABIOS,DIENTES
ARENA,PLAYA
ESCUELA,COLEGIO
TUYO,MÍO
TRIGO,GRANO
GEMA,JOYA
VASO,AGUA
PUÑO,GOLPE
LIMA,LIMÓN
ESPUMA,AFEITAR
PLANETA,TIERRA
ATLAS,MAPA
JUEGO,APUESTA
CAMA,COLCHÓN
NUEVE,DIEZ
PLATO,BANDEJA
COCHE,CAMION
TABACO,CÁNCER
AZUL,CIELO
MATAR,SANGRE
ACEITE,PAN
COMIDA,CENA
COBRE,BRONCE
YO,TÚ
TEJA,TEJADO
SILLON,SOFA
NOMBRE,EDAD
ALTO,BAJO
TROTAR,CORRER
DESEO,SUEÑO
AJEDREZ,PEÓN
SOLEADO,NUBLADO
CÁLIDO,CALOR
NIEVE,GRANIZO
ABRIL,MAYO
HÚMEDO,SECO
FRUTA,MANZANA
CERDO,POLLO
AMOR,ODIO
MINUTO,HORA
ENFERMO,SANO
RÍO,ARROYO
ORACIÓN,DIOS
NEGRO,BLANCO
PANTANO,LAGO
PEGAR,UNIR
OJOS,NARIZ
JARABE,PÍLDORA
PÚBLICO,PRIVADO
CINTA,LAZO
GALLO,GALLINA
JOVEN,VIEJO
BIEN,MAL
PULGADA,METRO
BARRO,LODO
RECIBIR,ENVIAR
ESTRÉS,TENSIÓN
REFRÁN,DICHO
ACERO,HIERRO
EMPEZAR,DETENER
PRÓXIMO,LEJANO
CONEJO,LIEBRE
BRAZO,PIERNA
CAFÉ,TÉ
NOTA,CURSO
GRANJA,GRANERO
LARGO,CORTO
MUCHOS,POCOS
TEATRO,DRAMA
ABAJO,ARRIBA
VAQUEROS,INDIOS
CHICO,CHICA
AHORA,ENTONCES
ESPECIA,HIERBA
PRIMERO,ÚLTIMO
SAUNA,PISCINA
TIRITA,VENDA
VISTA,OIDO
CABALLO,PONI
TIZA,PIZARRA
ZUMO,PULPA
ENSEÑA,APRENDE
TORO,BUEY
ACNÉ,GRANO
RUEDA,LLANTA
USADO,NUEVO
GINEBRA,VODKA
PELDAÑO,ESCALÓN
HONDO,LLANO
CALLE,AVENIDA
VENDER,COMPRAR
DEDOS,MANO
PERDER,HALLAR
RENTA,CASERO
PASEAR,CAMINAR
JUGUETE,MUÑECA
MAMÁ,PAPÁ
PINO,ROBLE
GUSANO,LOMBRIZ
CARCEL,PRISIÓN
ÉL,ELLA
VISÓN,PELO
ONZA,LIBRA
MÚSICA,CANCIÓN
ROPA,REMIENDO
CREAR,DISEÑAR
GASTAR,AHORRAR
TORPE,HABIL
RELEVO,CARRERA
COLOR,ROJO
MUY,MUCHO
OLFATO,GUSTO
INICIO,FIN
ROMPER,RASGAR
TRISTE,LLORO
ECCEMA,RASCAR
FOGÓN,COCINA
ÁGUILA,PÁJARO
NOVELA,LIBRO
EBRIO,SOBRIO
TRUENO,RAYO
CAMISETA,PANTALÓN
COCHE,MOTO
MES,AÑO
BRISA,VIENTO
VAPOR,VAHO
ENCHUFE,CABLE
ABEJA,AVISPA
PLATO,CUENCO
VIVIR,MORIR
CERCA,LEJOS
GANAR,PERDER
AZÚCAR,DULCE
MOQUETA,FELPUDO
PAR,IMPAR
ROCA,PIEDRA
DEJAR,MARCHAR
PASILLO,FILA
ABRIR,CERRAR
CONSOLA,MANDO
FALDA,VESTIDO
FUERA,DENTRO
VENTA,SUBASTA
ARRIBA,ABAJO
DINERO,CHEQUE
RABO,COLA
CURA,IGLESIA
GOTA,CHARCO
NIEVE,LLUVIA
DIPLOMA,GRADO
GOSPEL,CORO
CHEDDAR,QUESO
TINTA,BOLÍGRAFO
ABRAZO,BESO
CRECER,ENCOGER
NORTE,SUR
MONO,SIMIO
MELODÍA,TONO
OLLAS,SARTENES
CABEZA,PELO
ACEITE,VINAGRE
CIUDAD,PUEBLO
MONEDA,EURO
LEER,ESCRIBIR
PASTEL,TARTA
PUERTAS,VENTANAS
PÓSTER,FIRMA
JUSTICIA,LEY
PISTOLA,DISPARO
HIELO,HELADO
MUEBLE,CAJÓN
OCEANO,MAR
PASADO,FUTURO
SIEMPRE,NUNCA
ESTACIÓN,DEPÓSITO
ENCIMA,DEBAJO
LUNA,ESTRELLA
CODO,RODILLA
TENEDOR,CUCHARA
EQUIPO,JUGADOR
LANZAR,COGER
ZORRO,LOBO
LECHE,NATA
TABLET,MOVIL
CARTA,NOTA
COBARDE,HÉROE
MEJOR,PEOR
ZAPATO,CALCETÍN
CORREO,SELLO
ALEGRE,FELIZ
PEINE,CEPILLO
GRITAR,CHILLAR
MIRAR,VER
MASTICAR,TRAGAR
ELLA,EL
CHARLAR,HABLAR
CÍRCULO,ÓVALO
CÉSPED,VERDE
MANTA,SÁBANA
SÍ,NO
AQUÍ,ALLÍ
BISTURÍ,CORTE
ERGUIDO,SENTADO
SABOR,OLOR
AGUJA,HILO
NÚMEROS,LETRAS
POLICÍA,MULTA
INSULTO,OFENSA
VOZ,MUDO
MÁS,MENOS
RICO,POBRE
ON,OFF
CIEGO,SORDO
TABERNA,BAR
UVA,MOSTO
BÍCEPS,MÚSCULO
PARQUE,BANCO
PESO,BASCULA
ARAÑA,TELA
TEMOR,MIEDO
BICHO,INSECTO
PICO,PALA
LADRÓN,ROBO
DIVERSIÓN,JUEGO
TOALLA,TRAPO
TERNERO,VACA
REPOSO,RELAX
ESTAFA,ENGAÑO
BEICON,HUEVOS
AYUDAR,ASISTIR
LEÓN,TIGRE
COMER,BEBER
ENERGÍA,FUERZA
FRESCO,PODRIDO
FRUNCIR,SONREIR
HORMIGA,TERMITA
UNO,DOS
LLAVE,CANDADO
MEDIO,ENTERO
CIERTO,FALSO
PEZ,ACUARIO
LABOR,TRABAJO
LOCO,DEMENTE
TENIS,RAQUETA
BEBÉ,BIBERÓN
TEJER,COSER
RAMO,FLORES
ESMALTE,UÑA
NIEBLA,BRUMA
PULMÓN,CORAZÓN
GUERRA,PAZ
SEGUIR,DIRIGIR
ARBITRO,FALTA
OCULTAR,BUSCAR
APROBAR,FALLAR
TIJERA,CORTAR
BUFANDA,CUELLO
BRINCAR,SALTAR
RANA,SAPO
MEZCLAR,REMOVER
ÁSPERO,SUAVE
CIGARRO,PURO
RATA,RATÓN
PESCADO,ESCAMA
HIJO,PADRE
MOFETA,PESTE
DAR,RECIBIR
BANCO,CAJERO
CLAVO,MARTILLO
PILOTO,AVIÓN
FÁCIL,DIFÍCIL
OVEJA,CORDERO
ESPADA,ESCUDO
BARRER,ESCOBA
OSCURO,CLARO
SIROPE,TORTITA
CIRCO,PAYASO
GRIEGO,LATÍN
DIA,NOCHE
DOCTOR,ENFERMERO
CEÑIDO,ANCHO
VOLAR ,PLANEAR
BLANDO,DURO
ARADO,CAMPO
LLAMA,FUEGO
MÁS,MENOS
CALIENTE,FRIO
SEDA,SATÉN
MUERTO,VIVO
GNOMO,ENANO
CASA,HOGAR
FONTANERO,TUBERÍA
LUZ,SOMBRA
LLEVAR,PORTAR
BROCHA,PINCEL
CASTAÑA,NUEZ
SED,HAMBRE
HORNO,PIZZA
PEQUEÑO,CANIJO
GENTE,GENTÍO
FLOTAR,HUNDIR
MOHO,HONGO
ESTE,OESTE
ESMOQUIN,TRAJE
RÁPIDO,LENTO
TÍA,TÍO
TONTO,LISTO
ALGUNO,NINGUNO
DANZA,BAILE
FIESTA,JUERGA
OREJA,OREJA
GANSO,PATO
DELGADO,GORDO
MEMORIA,MENTE
COMIC,VIÑETA